Year,GDP_Growth
1961,2.3
1962,6.1
1963,4.4
1964,5.8
1965,6.4
1966,6.5
1967,2.5
1968,4.8
1969,3.1
1970,-0.2540795928         
1971,3.293362378
1972,5.258895358
1973,5.64571947
1974,-0.5405465291
1975,-0.2054640121
1976,5.388139227
1977,4.624159207
1978,5.535302693
1979,3.166150271
1980,-0.256751931
1981,2.537718698
1982,-1.802874453
1983,4.583927316
1984,7.236619994
1985,4.169655954
1986,3.462651713
1987,3.459572555
1988,4.177046384
1989,3.672656329
1990,1.885960323
1991,-0.1082591053
1992,3.522442494
1993,2.752844327
1994,4.028839064
1995,2.684287132
1996,3.772501319
1997,4.447216343
1998,4.481407555
1999,4.753235989
2000,4.127484014
2001,0.9983407947
2002,1.74169525
2003,2.861210767
2004,3.798891127
2005,3.513213797
2006,2.854972292
2007,1.876171458
2008,-0.1365798055
2009,-2.536757066
2010,2.563766559
2011,1.550835506
2012,2.249545852
2013,1.842081071
2014,2.451973035
2015,2.880910466
2016,1.56721517
2017,2.21701033
2018,2.927322728
2019,2.333577492
